#Release 14.6 - par P.68d (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Apr 07 07:16:17 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FPGA_Code2_map.ncd
#OUTPUT FILE:      FPGA_Code2_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -4
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P94,,,VCCINT,,,,,,,,1.2,,,,
P95,,,VCCO_1,,,1,,,,,2.50,,,,
P96,ZIF16,IOB,IO_L08P_1,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P97,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P98,ZIF15,IOB,IO_L08N_1,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,ZIF14,IOB,IO_L09P_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P100,,,GND,,,,,,,,,,,,
P101,ZIF13,IOB,IO_L09N_1,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P102,ZIF12,IOB,IO_L10P_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P103,ZIF11,IOB,IO_L11P_1,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P104,ZIF10,IOB,IO_L10N_1,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P105,ZIF9,IOB,IO_L11N_1,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P106,,,GND,,,,,,,,,,,,
P107,,,TDO,,,,,,,,,,,,
P108,,,VCCAUX,,,,,,,,3.3,,,,
P109,,,TCK,,,,,,,,,,,,
P110,ZIF8,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P111,ZIF7,IOB,IO_L01N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P112,ZIF6,IOB,IO_L02P_0/VREF_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P113,ZIF5,IOB,IO_L02N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P114,ZIF4,IOB,IO_L04P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P115,ZIF3,IOB,IO_L03P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P116,ZIF2,IOB,IO_L04N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P117,ZIF1,IOB,IO_L03N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,,,VCCO_0,,,0,,,,,2.50,,,,
P120,ZIF0,IOB,IO_L05P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P121,,DIFFSTB,IO_L05N_0,UNUSED,,0,,,,,,,,,
P122,,,VCCINT,,,,,,,,1.2,,,,
P123,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
P124,,DIFFMTB,IO_L06P_0/GCLK4,UNUSED,,0,,,,,,,,,
P125,,DIFFMTB,IO_L07P_0/GCLK6,UNUSED,,0,,,,,,,,,
P126,,DIFFSTB,IO_L06N_0/GCLK5,UNUSED,,0,,,,,,,,,
P127,,DIFFSTB,IO_L07N_0/GCLK7,UNUSED,,0,,,,,,,,,
P128,,,GND,,,,,,,,,,,,
P129,,DIFFMTB,IO_L08P_0/GCLK8,UNUSED,,0,,,,,,,,,
P130,,DIFFMTB,IO_L09P_0/GCLK10,UNUSED,,0,,,,,,,,,
P131,WR,IBUF,IO_L08N_0/GCLK9,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P132,,DIFFSTB,IO_L09N_0/GCLK11,UNUSED,,0,,,,,,,,,
P133,,,VCCAUX,,,,,,,,3.3,,,,
P134,,DIFFMTB,IO_L10P_0,UNUSED,,0,,,,,,,,,
P135,,DIFFSTB,IO_L10N_0,UNUSED,,0,,,,,,,,,
P136,,,VCCO_0,,,0,,,,,2.50,,,,
P137,,,GND,,,,,,,,,,,,
P138,,DIFFMTB,IO_L11P_0,UNUSED,,0,,,,,,,,,
P139,,DIFFSTB,IO_L11N_0,UNUSED,,0,,,,,,,,,
P140,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
P141,,DIFFMTB,IO_L12P_0/VREF_0,UNUSED,,0,,,,,,,,,
P142,,DIFFSTB,IO_0,UNUSED,,0,,,,,,,,,
P143,,DIFFSTB,IO_L12N_0/PUDC_B,UNUSED,,0,,,,,,,,,
P144,,,PROG_B,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
